Link Text,URL
CAC MNP,https://www.mnp.navy.mil/web/guest/home?p_p_state=maximized&p_p_mode=view&refererPlid=1276063&saveLastPath=false&_com_liferay_login_web_portlet_LoginPortlet_mvcRenderCommandName=%2Flogin%2Flogin&p_p_id=com_liferay_login_web_portlet_LoginPortlet&p_p_lifecycle=0&_com_liferay_login_web_portlet_LoginPortlet_redirect=%2F
STATUS,https://my.navy.mil/
MNP Help Desk,https://nesd-dwp.onbmc.mil/
need@nesd-mail.onbmc.mil,mailto:%6Ee%65d@n%65sd-ma%69l.onbmc%2Emil
Navy Reserve Homeport (NRH),https://nrh.navyreserve.navy.mil/
Help Desk,https://private.navyreserve.navy.mil/sites/helpdesk
"Fleet Training, Management and Planning System",https://ntmpsweb.dc3n.navy.mil/Fltmps/
Electronic Training Jacket (ETJ),https://ntmpsweb.dc3n.navy.mil/etjclient/DoDBanner.aspx
Navy eLearning,https://learning.nel.navy.mil/
Help Desk,https://nesd-dwp.onbmc.mil
Chat,https://nesd-dwp.onbmc.mil
"MyTWMS,",https://mytwms.dc3n.navy.mil/
TWMS,https://twms.dc3n.navy.mil
TOPS,https://twms.dc3n.navy.mil/TOPS/
TWMSAdministrator@navy.mil,mailto:TWMSAdmi%6Eistra%74o%72@na%76y%2Emil
Navy Reserve Readiness Module,https://nrrm.nrre.navy.mil/
Enterprise Safety Application Management System,https://esams.cnic.navy.mil/esams_gen_2/loginesams.aspx
MyNavy HR,https://www.mynavyhr.navy.mil/
Navy Personnel Command,https://www.mynavyhr.navy.mil/Navy-Personnel-Command/
askmncc@navy.mil,mailto:%61skmncc@na%76y.mil
MNCC Chat,https://my.navy.mil
NIPRGPT,https://niprgpt.mil/
RAIN (Reserve Artificial Intelligence Navigator),https://nrh.navyreserve.navy.mil/chat
myPay,https://mypay.dfas.mil/mypay.aspx
Leave and Earnings Statement (LES),https://mypay.dfas.mil/mypay.aspx
Reference,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2025/NAV25023.pdf?ver=Lx5VK1-_iQZLUYSIIDZVsA%3d%3d
Page 2,https://www.nsips.navy.mil/
Fiscal Year 2025 Common Military Training Requirements,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2024/NAV24209.txt?ver=s2MalZl5dN1qGOqyeF0Brw%3d%3d
milConnect,https://milconnect.dmdc.osd.mil/milconnect/
Navy Birthday,https://www.history.navy.mil/content/history/nhhc/browse-by-topic/commemorations-toolkits/navy-nation-250.html
RFMT (Reserve Force Manpower Tools),https://rfmt.private.navyreserve.navy.mil/
Apply,https://rfmt.private.navyreserve.navy.mil/
MyNavy Assignment (MNA),https://mynavyassignment.dc3n.navy.mil/
Alfa,https://en.wikipedia.org/wiki/Allied_military_phonetic_spelling_alphabets#U.S._Navy_radiotelephony_spelling_alphabet
2nd Ref,https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/p/phonetic-alphabet-and-signal-flags.html
Navy Reserve Force Messages Acronyms,https://www.navyreserve.navy.mil/Portals/35/Documents/RESPERMAN/Reserve%20Military%20Personnel%20Manual/RPM%20Acronyms.pdf?ver=0q7saypeBgLWLxxheljXWA%3d%3d
US Military Abbreviations,https://en.wikipedia.org/wiki/List_of_U.S._government_and_military_acronyms
Navy Personnel Command,https://www.mynavyhr.navy.mil/Navy-Personnel-Command/
Support & Services,https://www.mynavyhr.navy.mil/Support-Services/
MyNavy Career Center,https://www.mynavyhr.navy.mil/Support-Services/MyNavy-Career-Center/
Navy Personnel Command,https://www.mynavyhr.navy.mil/Navy-Personnel-Command/
MNCC Chat,https://my.navy.mil
BUPERS Online,https://www.bol.navy.mil/
Entire Manual,https://www.navyreserve.navy.mil/Portals/35/Documents/RESPERMAN/Reserve%20Military%20Personnel%20Manual/Navy%20Reserve%20Personnel%20Manual%202018.pdf?ver=ylgMhyQzoOJsK5Yxw5s-vg%3d%3d
By Sections,https://www.navyreserve.navy.mil/Resources/Official-RESFOR-Guidance/RESPERSMAN/
Commander Navy Reserve Force (CNRF) Instructions,https://www.navyreserve.navy.mil/Resources/Official-RESFOR-Guidance/Instructions/
BUPERS INSTRUCTION 1001.39F,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf
DODI 1200.15,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/120015p.pdf
Understanding a Good Year for Reserve Retirement,https://www.navyreserve.navy.mil/News/Article-View-News/Article/2321081/understanding-a-good-year-for-reserve-retirement/
BUPERSINST 1001.39F,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf
BUPERSINST 1001.39F,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf
BUPERSINST 1001.39F,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf
RESPERSMAN 1571-010,https://www.navyreserve.navy.mil/Portals/35/Documents/RESPERMAN/1500%20Inactive%20Duty%20Training%20Annual%20Training/1571-010%20Annual%20Training%20and%20Active%20Duty%20Training.pdf
form,https://private.navyreserve.navy.mil/cnrfc/N-Codes/N1/CNRFC_N1C2/COMNAVRESFORINST%2010015F%20Exhibits/Annual%20Training%20Waiver%20Request%20(NAVRES%201571_15).pdf
DD-214 Online,https://www.archives.gov/veterans/military-service-records/
eVetRecs,https://www.archives.gov/veterans/military-service-records
Mail or Fax,https://www.archives.gov/veterans/military-service-records/standard-form-180
eVetRecs,https://www.archives.gov/veterans/military-service-records
Mail or Fax,https://www.archives.gov/veterans/military-service-records/standard-form-180
eVetRecs,https://www.archives.gov/veterans/military-service-records
Mail or Fax,https://www.archives.gov/veterans/military-service-records/standard-form-180
eVetRecs,https://www.archives.gov/veterans/military-service-records
Mail or Fax,https://www.archives.gov/veterans/military-service-records/standard-form-180
Burial and Emergency Requests,https://www.archives.gov/veterans/military-service-records/emergencies
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Detailing,https://www.mynavyhr.navy.mil/Career-Management/Detailing/
Augmentation,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Augmentation/
462 ADOS,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Augmentation/462-ADOS/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Boards,https://www.mynavyhr.navy.mil/Career-Management/Boards/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Records Management,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/
Military Personnel Records,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/Military-Personnel-Records/
Officer Record Update,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/Military-Personnel-Records/Officer-Record-Update/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Performance Evaluation,https://www.mynavyhr.navy.mil/Career-Management/Performance-Evaluation/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Enlisted Career Admin,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/
Advancement,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Performance Evaluation,https://www.mynavyhr.navy.mil/Career-Management/Performance-Evaluation/
BUPERSINST 1430.16G,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf?ver=leCKLawy5K6SH7dQyfecAw%3d%3d
Meritorious Advancement Program (MAP-R),https://www.navyreserve.navy.mil/Portals/35/MAP_R%20Smart%20Sheet_final.pdf
MAP,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/MAP/
NAVADMIN YEAR,https://www.mynavyhr.navy.mil/References/Messages/
How to prepare for and take the Navy Wide Advancement Examination (NWAE),https://web.archive.org/web/20210925154744/https://www.mynavyhr.navy.mil/Portals/55/Career/CareerToolbox/Plain%20Talk%20-%20Study%20for%20Advancement%20(31%20AUG%202019).pdf?ver=gpSTA-xMsz4ip1GvIGifaA%3D%3D
Calculator App,https://www.applocker.navy.mil/#!/apps/C28CB458-ADA9-4758-B13E-5F13F1EC4FFF
NAVADMIN 2021,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2021/
NAVADMIN 2022,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2022/
NAVADMIN 2023,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2023/
NAVADMIN 2024,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2024/
NAVADMIN 2025,https://www.mynavyhr.navy.mil/References/Messages/NAVADMIN-2025/
RSCATracker,https://www.mynavyhr.navy.mil/Career-Management/Performance-Evaluation/FITREP-EVAL-Reports-RSCA/
Calculator,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/
Final Multiple Score (FMS)Chart,https://www.mynavyhr.navy.mil/Portals/55/Career/EnlistedCareerAdmin/Advancement/FMS%20CHART%202019.pdf?ver=7JIIFjch6JhL-ZUD8bBOzQ%3d%3d
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Enlisted Career Admin,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/
Advancement,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/
Profile Sheet,https://www.nsips.navy.mil/psp/PRDTRX01_3/EMPLOYEE/HRMS/c/ESR_SS_MNU.N_EAW_DASHBRD_CMP.GBL?&skipcnav=1
EAPS,https://prod.neas.netc.navy.mil/NEASRpts/Individual.aspx?utm_source=mnp%20public
NSIPS,https://www.nsips.cloud.navy.mil
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Enlisted Career Admin,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/
Advancement,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/
Enlisted Advancement Worksheet (EAW),https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/EAW/
with the profile sheet,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted-Career-Admin/Advancement/
Advancements and Promotions,https://allhands.navy.mil/Stories/Category/16624/
NAVADMIN 123/24,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2024/NAV24123.txt?ver=AOpdxhH0MhDkgBcHto3AWg%3D%3D
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Performance Evaluation,https://www.mynavyhr.navy.mil/Career-Management/Performance-Evaluation/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Records Management,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/
Military Personnel Records,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/Military-Personnel-Records/
Officer Record Update,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/Military-Personnel-Records/Officer-Record-Update/
Officer Promotion Board Gouge,https://www.mynavyhr.navy.mil/Portals/55/Career/Detailing/Officer/EOD/Officer%20Record%20Management%20Brief.pdf?ver=XhXkwOOt8ClSOgE9I6J19Q%3D%3D
My Navy Portal,https://my.navy.mil/
CAC MNP,https://mnp.navy.mil/
NAVADMIN 123/24,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2024/NAV24123.txt?ver=AOpdxhH0MhDkgBcHto3AWg%3D%3D
Aircraft Carriers Underway,https://www.navy.mil/About/Mission/
AIRCREW,https://www.mynavyhr.navy.mil/Career-Management/Community-Management/Enlisted/Aviation/
MC,https://www.cool.osd.mil/usn/moc/index.html?moc=mc&tab=overview
PAO,https://www.cool.osd.mil/usn/moc/index.html?moc=odc165x&tab=overview
All Hands Magazine,https://allhands.navy.mil/
Advancements and Promotions,https://allhands.navy.mil/Stories/Category/16624/
Unofficial U.S. Navy Information and Resource Training Site,https://web.archive.org/web/20180719001340/https://www.navy.mil/ah_online/ftrStory.asp?id=90345
PSD,https://www.mynavyhr.navy.mil/Support-Services/Pay-Pers-Support/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
References,https://www.mynavyhr.navy.mil/References/
Pay & Benefits,https://www.mynavyhr.navy.mil/References/Pay-Benefits/
Allotment,https://www.military.com/benefits/military-pay/military-pay-allotments.html
Military.com,https://www.military.com/
myPay,https://mypay.dfas.mil/#/
DFAS Military Allotments Information,https://www.dfas.mil/militarymembers/paydeductions/allotments/
The Navy Reservist Almanac,https://www.navyreserve.navy.mil/Resources/TNR-Almanac-Online/
Reserve Force Manpower Tools (RFMT),https://rfmt.private.navyreserve.navy.mil/
Apply,https://rfmt.private.navyreserve.navy.mil/
JOAPPLY,https://rfmt.private.navyreserve.navy.mil/
Annual Readiness Questionnaire (ARQ),https://bridge.nrdw.navyreserve.navy.mil/
CNRFC N35 ARQ Home Page,https://private.navyreserve.navy.mil/cnrfc/N-Codes/N3/Pages/ARQ.aspx
FAQ,https://usg01.safelinks.protection.office365.us/?url=https%3A%2F%2Fprivate.navyreserve.navy.mil%2Fcnrfc%2FN-Codes%2FN3%2FPages%2FARQ.aspx&amp;data=04%7C01%7Cpeter.a.ketterer.ctr%40us.navy.mil%7C8a678650a2fa4a1b3a2f08d9dae51bdb%7Ce3333e00c8774b87b6ad45e942de1750%7C0%7C0%7C637781499838637851%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=usigNGvYz7Sa7PlpyjnvRjHU7r%2FAxZl4c6Cn27Rikj4%3D&amp;reserved=0
ARQ Access,https://bridge.nrdw.navyreserve.navy.mil/bridgereservist/#landing
REF,https://www.navyreserve.navy.mil/Portals/35/1001.pdf
ARQ Home Page,https://private.navyreserve.navy.mil/cnrfc/N-Codes/N3/Pages/n35_home.aspx
Navy A School: A List Of All 24 Locations + Training Summary,https://www.operationmilitarykids.org/navy-a-school-locations/
A-School Locations,https://www.operationmilitarykids.org/navy-a-school-locations/
Advanced Skills Management,https://asm3.nmci.navy.mil/ASM3/main
Source,https://en.wikipedia.org/wiki/United_States_military_occupation_code#Commissioned_officer_designators
AQD/NOBC Navy Personnel Command,https://www.mynavyhr.navy.mil/Career-Management/Reserve-Personnel-Mgmt/Officers/NOBC-AQD/
PART D – Additional Qualification Designation (AQD) Codes,https://www.mynavyhr.navy.mil/Portals/55/Reference/NOOCS/Vol1/Manual_1_83_PTD_AQD_Apr23.pdf
BUPERS INSTRUCTION 1001.39F Chapter 9 Figure 9-2,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf
Navy Officer Billet Classification (NOBC) Codes,https://www.mynavyhr.navy.mil/Career-Management/Detailing/Officer/Pers-44-Staff-RL/Supply-Corps-Officer/Reserve-NOBC-Updates/
BOL,https://www.bol.navy.mil/
Points FAQ,https://www.mynavyhr.navy.mil/Career-Management/Reserve-Personnel-Mgmt/Points-FAQ/
NSIPS,https://www.nsips.cloud.navy.mil
askmncc@navy.mil,mailto:%61%73kmncc@na%76y.mil
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Records Management,https://www.mynavyhr.navy.mil/Career-Management/Records-Management/
Decorations and Medals (Awards),https://www.mynavyhr.navy.mil/Career-Management/Records-Management/Decorations-and-Medals/
Navy Department of Awards Web Service (NDAWS) User Guide,https://www.mynavyhr.navy.mil/Portals/55/Career/RecordsManagement/NDAWS%20User%20Guide%20-%2017%20JUL2024.pdf?ver=6nv4lQfJsO6TPh5EasorkQ%3d%3d
Bupers Online,https://www.bol.navy.mil/
Old,https://nefp.bol.navy.mil/lc/ws
Navy and Marine Corps Awards Manual (SECNAV M-1650.1),https://www.marines.mil/Portals/1/Publications/SECNAV%20M-1650.1.pdf?ver=2019-08-23-121307-600
AUTONAM,https://private.navyreserve.navy.mil/cnrfc/N-Codes/N7/award_writer/
Reference,https://www.navy.mil/Press-Office/News-Stories/Article/2249887/reserve-forces-command-debuts-autonam-award-writing-program/
BUPERSINST 1430.16G,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf
Navy Cool,https://www.cool.osd.mil/usn/index.html
Navy Leadership Biographies,https://www.navy.mil/Leadership/Biographies/
Blue Angels,https://www.blueangels.navy.mil/
Show Schedule,https://www.blueangels.navy.mil/show/
BLUF (Bottom Line Up Front),https://en.wikipedia.org/wiki/BLUF_(communication)#Use_in_the_military
NPC,https://www.mynavyhr.navy.mil/Career-Management/Boards/
BUPERS Online,https://www.bol.navy.mil/
STATUS,https://my.navy.mil/
BOL HELPDESK – NPC_IT_SERVICE_DESK@navy.mil,mailto:BOL H%45LPDESK -%20NPC_I%54_%53ER%56%49CE_DE%53K@n%61vy.mil
https://www.bol.navy.mil/bam/,https://www.bol.navy.mil/bam/
CNO Professional Reading Program,https://www.navy.mil/Press-Office/Press-Releases/display-pressreleases/Article/3023126/cno-updates-professional-reading-program/
Reference Library,https://www.mynavyhr.navy.mil/References/
"Recruit Training Command, Great Lakes (RTC Great Lakes)",https://www.bootcamp.navy.mil/
Blended Retirement System,https://militarypay.defense.gov/BlendedRetirement/
The Blended Retirement System Explained,https://www.military.com/benefits/military-pay/blended-retirement-system.html
Bureau of Medicine and Surgery (BUMED),https://www.med.navy.mil/BUMED/
Defense Health Agency (DHA),https://www.health.mil/About-MHS/OASDHA/Defense-Health-Agency
Bureau of Naval Personnel,https://www.mynavyhr.navy.mil/Navy-Personnel-Command/
BUPERS Online,https://www.bol.navy.mil/
STATUS,https://my.navy.mil/
Navy Personnel Command,https://www.mynavyhr.navy.mil/Navy-Personnel-Command/
Command and Control Official Information Exchange (C2OIX),https://www.oix.navy.mil/AuthForm.aspx
RAPIDS SITE LOCATOR,https://idco.dmdc.osd.mil/idco/
Navy CAC,https://militarycac.com/Navy.htm
Military CAC,https://militarycac.com/index.htm
Common Access card,https://www.cac.mil/
CAC,https://www.cac.mil/
guide,https://militarycac.com/PIV.htm
Online Appointment,https://idco.dmdc.osd.mil/idco/
eNTRS,https://app.prod.cetars.training.navy.mil/eNTRS/
eNTRS,https://app.prod.cetars.training.navy.mil/eNTRS/
eNTRS app information,https://aux.prod.cetars.training.navy.mil/ch/WebHelp_Pro/CeTARS_Help.htm#eNTRS/eNTRS.htm
Catalog of Navy Training Courses (CANTRAC),https://main.prod.cetars.training.navy.mil/cetars/main.html?utm_source=mnp%20public
Old Link,https://app.prod.cetars.training.navy.mil/cantrac/vol2.html
CeTARS,https://main.prod.cetars.training.navy.mil/cetars/training.html
Help Desk,https://aux.prod.cetars.training.navy.mil/ch/WebHelp_Pro/CETARS_Help.htm
MNP,https://my.navy.mil/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Career Counseling,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Career Counseling,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/
Resources,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/Resources/
OPNAVINST 1040.11F,https://www.secnav.navy.mil/doni/Directives/01000%20Military%20Personnel%20Support/01-01%20General%20Military%20Personnel%20Records/1040.11F.pdf
OPNAVINST 3120.32D CH-1,https://www.secnav.navy.mil/doni/Directives/03000%20Naval%20Operations%20and%20Readiness/03-100%20Naval%20Operations%20Support/3120.32D%20W%20CH-1.pdf
Career Counselor Handbook,https://www.mynavyhr.navy.mil/Portals/55/Career/CareerCounseling/CCC%20NAVPERS%2015878N%20-%20UPDATE.pdf
Career Information Management System (CIMS),https://www.nsips.navy.mil/
NSIPS,https://www.nsips.cloud.navy.mil
Career Waypoint System (C-WAY),https://www.bol.navy.mil/
DD Form 2648,https://www.dodtap.mil/dodtap/rest/docs?filename=Blank_eForm_PDF_Print_Out.pdf
Fleet Training Management and Planning System (FLTMPS),https://ntmpsweb.dc3n.navy.mil/Fltmps/
MyNavy Assignment (MNA),https://mynavyassignment.dc3n.navy.mil/
Navy Enlisted Advancement System (NEAS),https://neas.ncdc.navy.mil/login
Navy Retention Monitoring System (NRMS),https://www.nsips.navy.mil/
NSIPS,https://www.nsips.cloud.navy.mil
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Counseling,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/
Resources,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/Resources/
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Talent Management,https://www.mynavyhr.navy.mil/Career-Management/Talent-Management/
CDS,https://www.mynavyhr.navy.mil/Career-Management/Talent-Management/CDS/
What is MyNavy CDS?,https://www.mynavyhr.navy.mil/Portals/55/Career/TalentMgmt/CDS%20General%20Overview.pdf?ver=CeFJXXCRZGjCAlTC9jh1pQ%3d%3d
Navy Personnel Command,https://www.mynavyhr.navy.mil/
Career Management,https://www.mynavyhr.navy.mil/Career-Management/
Career Counseling,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/
Resources,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/Resources/
Career Tools,https://www.mynavyhr.navy.mil/Career-Management/Career-Counseling/Resources/
Religious Accommodation (RA),https://www.mynavyhr.navy.mil/Support-Services/Religious-Accommodations/
Special Request Chit (NAVPERS 1336-3),https://www.mynavyhr.navy.mil/Portals/55/Reference/Forms/NAVPERS/NAVPERS_1336-3_Rev10-11.pdf?ver=h-0WMlae7aY4QoULQiOkJA%3d%3d
Navy Standard Integrated Personnel System,https://www.nsips.cloud.navy.mil
OPNAVINST 1306.2,https://www.secnav.navy.mil/doni/Directives/01000%20Military%20Personnel%20Support/01-300%20Assignment%20and%20Distribution%20Services/1306.2K.pdf
OPNAVINST 3120.32D CH-1,https://www.secnav.navy.mil/doni/Directives/03000%20Naval%20Operations%20and%20Readiness/03-100%20Naval%20Operations%20Support/3120.32D%20W%20CH-1.pdf
TRIAD Resources,https://www.mynavyhr.navy.mil/Support-Services/MyNavy-Career-Center/Pers-Pay-Support/TRIAD-Resources/
EUCFR Guide,https://www.mynavyhr.navy.mil/Support-Services/MyNavy-Career-Center/Pers-Pay-Support/TRIAD-Resources/EUCFR-Guide/
CNO Reading Program,https://www.navy.mil/Leadership/Chief-of-Naval-Operations/Chief-of-Naval-Operations-Professional-Reading-Library-v2/
OPNAVINST 3120.32D CH-1,https://www.secnav.navy.mil/doni/Directives/03000%20Naval%20Operations%20and%20Readiness/03-100%20Naval%20Operations%20Support/3120.32D%20W%20CH-1.pdf
Navy Reserve Augment Unit Commanding Officer And Officer-In-Charge Qualification Program,https://www.navyreserve.navy.mil/Portals/35/Users/041/97/297/COMNAVRESFORINST%201412.2B.pdf?ver=7kUlITKUxwwePv7SFJBDLw%3d%3d
2N1 AQD Starting Point],https://private.navyreserve.navy.mil/cnrfc/N-Codes/N7/reserve_co_oic
TRIAD Resources,https://www.mynavyhr.navy.mil/Support-Services/MyNavy-Career-Center/Pers-Pay-Support/TRIAD-Resources/
EUCFR Guide,https://www.mynavyhr.navy.mil/Support-Services/MyNavy-Career-Center/Pers-Pay-Support/TRIAD-Resources/EUCFR-Guide/
VCNO Standards of Conduct,https://www.applocker.navy.mil/#!/apps/932A95A5-CDA2-4E35-A6B8-39E9C53E9880
General Order 99,https://www.history.navy.mil/content/history/nhhc/research/library/online-reading-room/title-list-alphabetically/g/general-orders/general-order-no-99-prohibition-in-the-navy.html
Navy College Program,https://www.navycollege.navy.mil/
Tuition Assistance (TA),https://www.navycollege.navy.mil/commands/tuition-assistance
Tuition Assistance Policy Update Fact Sheet,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/FACT_SHEETS/Fact_Sheet_NAV_112_23.pdf
Navy College Program for Afloat College Education (NCPACE),https://www.navycollege.navy.mil/sailors/tuition-assistance-ncpace.htm
Great question…what DID I learn in command?,https://www.themilitaryleader.com/learned-command/
The Military Leader,https://www.themilitaryleader.com/
Commander’s Intent,https://en.wikipedia.org/wiki/Intent_(military)#Commander's_intent
NAVADMIN,https://www.mynavyhr.navy.mil/References/Messages/
DOD Instruction 1322.31 Common Military Training,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/132231p.pdf
Fiscal Year 2025 Common Military Training Requirements,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2024/NAV24209.txt?ver=s2MalZl5dN1qGOqyeF0Brw%3d%3d
Fiscal Year 2024 General Military Training Requirements,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23236.txt?ver=TDinLQE6TNU_L5nuaO39TQ%3d%3d
Fiscal Year 2023 General Military Training Requirement,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2022/NAV22201.txt?ver=DkPeoEd2CHCfOgR77VSVXA%3d%3d
